NAMESPACE                   LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
kube-system                 43m         Normal    Created                   pod/kindnet-62s5l                                           Created container: kindnet-cni
kube-system                 43m         Normal    Started                   pod/kindnet-62s5l                                           Started container kindnet-cni
atlas-e2e                   43m         Normal    Scheduled                 pod/otel-collector-676699486c-xhdlz                         Successfully assigned atlas-e2e/otel-collector-676699486c-xhdlz to bijux-atlas-e2e-control-plane
kube-system                 43m         Normal    Scheduled                 pod/coredns-668d6bf9bc-g2c4j                                Successfully assigned kube-system/coredns-668d6bf9bc-g2c4j to bijux-atlas-e2e-control-plane
kube-system                 43m         Normal    Scheduled                 pod/coredns-668d6bf9bc-phnlt                                Successfully assigned kube-system/coredns-668d6bf9bc-phnlt to bijux-atlas-e2e-control-plane
default                     43m         Normal    NodeReady                 node/bijux-atlas-e2e-control-plane                          Node bijux-atlas-e2e-control-plane status is now: NodeReady
atlas-e2e                   43m         Normal    Scheduled                 pod/prometheus-77f7b9d779-2zq96                             Successfully assigned atlas-e2e/prometheus-77f7b9d779-2zq96 to bijux-atlas-e2e-control-plane
atlas-e2e                   43m         Normal    Scheduled                 pod/minio-8d4866b9-gk4nn                                    Successfully assigned atlas-e2e/minio-8d4866b9-gk4nn to bijux-atlas-e2e-control-plane
local-path-storage          43m         Normal    Scheduled                 pod/local-path-provisioner-7dc846544d-9w5nc                 Successfully assigned local-path-storage/local-path-provisioner-7dc846544d-9w5nc to bijux-atlas-e2e-control-plane
atlas-e2e                   43m         Normal    Scheduled                 pod/grafana-7459f79596-vr42j                                Successfully assigned atlas-e2e/grafana-7459f79596-vr42j to bijux-atlas-e2e-control-plane
atlas-e2e                   43m         Normal    Pulling                   pod/otel-collector-676699486c-xhdlz                         Pulling image "otel/opentelemetry-collector-contrib:0.111.0"
kube-system                 43m         Normal    Started                   pod/coredns-668d6bf9bc-phnlt                                Started container coredns
kube-system                 43m         Normal    Started                   pod/coredns-668d6bf9bc-g2c4j                                Started container coredns
local-path-storage          43m         Normal    Pulled                    pod/local-path-provisioner-7dc846544d-9w5nc                 Container image "docker.io/kindest/local-path-provisioner:v20250214-acbabc1a" already present on machine
local-path-storage          43m         Normal    Created                   pod/local-path-provisioner-7dc846544d-9w5nc                 Created container: local-path-provisioner
atlas-e2e                   43m         Normal    Pulling                   pod/prometheus-77f7b9d779-2zq96                             Pulling image "prom/prometheus:v2.54.1"
kube-system                 43m         Normal    Created                   pod/coredns-668d6bf9bc-g2c4j                                Created container: coredns
local-path-storage          43m         Normal    Started                   pod/local-path-provisioner-7dc846544d-9w5nc                 Started container local-path-provisioner
atlas-e2e                   43m         Normal    Pulling                   pod/grafana-7459f79596-vr42j                                Pulling image "grafana/grafana:11.2.0"
atlas-e2e                   43m         Normal    Pulling                   pod/minio-8d4866b9-gk4nn                                    Pulling image "minio/minio:RELEASE.2025-01-20T14-49-07Z"
kube-system                 43m         Normal    Created                   pod/coredns-668d6bf9bc-phnlt                                Created container: coredns
kube-system                 43m         Normal    Pulled                    pod/coredns-668d6bf9bc-g2c4j                                Container image "registry.k8s.io/coredns/coredns:v1.11.3" already present on machine
kube-system                 43m         Normal    Pulled                    pod/coredns-668d6bf9bc-phnlt                                Container image "registry.k8s.io/coredns/coredns:v1.11.3" already present on machine
atlas-e2e                   43m         Normal    Created                   pod/grafana-7459f79596-vr42j                                Created container: grafana
atlas-e2e                   43m         Normal    Pulled                    pod/grafana-7459f79596-vr42j                                Successfully pulled image "grafana/grafana:11.2.0" in 8.694s (8.695s including waiting). Image size: 120038166 bytes.
atlas-e2e                   43m         Normal    Started                   pod/grafana-7459f79596-vr42j                                Started container grafana
atlas-e2e                   43m         Normal    Created                   pod/otel-collector-676699486c-xhdlz                         Created container: otel-collector
atlas-e2e                   43m         Normal    Pulled                    pod/otel-collector-676699486c-xhdlz                         Successfully pulled image "otel/opentelemetry-collector-contrib:0.111.0" in 4.837s (13.528s including waiting). Image size: 67517115 bytes.
atlas-e2e                   43m         Normal    Started                   pod/otel-collector-676699486c-xhdlz                         Started container otel-collector
atlas-e2e                   43m         Normal    Started                   pod/prometheus-77f7b9d779-2zq96                             Started container prometheus
atlas-e2e                   43m         Normal    Pulled                    pod/prometheus-77f7b9d779-2zq96                             Successfully pulled image "prom/prometheus:v2.54.1" in 6.675s (20.201s including waiting). Image size: 102324478 bytes.
atlas-e2e                   43m         Normal    Created                   pod/prometheus-77f7b9d779-2zq96                             Created container: prometheus
atlas-e2e                   43m         Normal    Started                   pod/minio-8d4866b9-gk4nn                                    Started container minio
atlas-e2e                   43m         Normal    Created                   pod/minio-8d4866b9-gk4nn                                    Created container: minio
